source,target,relation,weight,
Gol Mohamad,Maral,family     ,5,
Gol Mohamad,Zivar,family,3,
Belghais,Gol Mohamad,family,5,
Belghais,Khan Mohamad,family,3,
Belghais,Baig Mohamad,family,3,
Belghais,shiro,family,3,
Kalmishi,Gol Mohamad,family,5,
Kalmishi,Khan Mohamad,family,1,
Kalmishi,Baig Mohamad,family,3,
Kalmishi,shiro,family,1,
Kalmishi,Khan Amo,family,3,
Khan Amo,Mahak,family,5,
Mahak,Sabro,family,5,
Belghais,Madyar,family,3,
Belghais,Gol Andam,family,1,
Gol Andam,Haj Pasand,family,3,
Haj Pasand,Ali Akbar,family,5,
Gol Andam,Ali Akbar,family,5,
Madyar,Soghi,romantic,5,
Hossein Ghargoshli,NadAli,family,3,
Mahsoltani,NadAli,family,3,
NadAli,Soghi,romantic,3,
Mah soltani,Baghli Bandar,family,1,
Baghli Bandar,Nor Jahan,family,1,
Nor Jahan,Aslan,family,1,
Nor Jahan,Shaida,family,1,
Baghli Bandar,Aslan,family,5,
Baghli Bandar,Shaida,family,3,
Delavar,Maral,romantic,1,
Gol Mohamad,Sattar,ally,5,
Abbdost,Maral,family,3,
Belghais,Abbdost,family,5,
shiro,Mahdarvish,family,5,
Gol Andam,Haj Pasand,family,5,
Haj Pasand,khadij,family,5,
Gol Andam,khadij,family,5,
khadij,Baig Mohamad,romantic,3,
Hossein Ghargoshli,Mahsoltan,family,5,
Hossein Ghargoshli,Soghi,family,3,
Mahsoltan,Baghli Bandar,family,3,
Baghli Bandar,NadAli,family,3,
Ali Akbar,Gol Mohamad,family,3,
Ali Akbar,Khan Mohamad,family,3,
Ali Akbar,Baig Mohamad,family,3,
Ali Akbar,shiro,family,1,
Baghli Bandar,Gol Mohamad,business ,5,
Pir Khaloo,Maral,social,3,
Khale Sanama,Zagh Abdol,family,3,
Khale Sanama,Mahdarvish,social,3,
Khale Sanama,Mashhadi ghadir,social,3,
Khale Sanama,Abbas Jan,social,5,
Abbas Jan,Mashhadi ghadir,family,3,
Mashhadi ghadir,Mahdarvish,friend,3,
Baghli Bandar,Alajaghi,business ,5,
karbalai khodadad,Mashhadi ghadir,family,3,
karbalai khodadad,Abbas Jan,family,3,
Baghli Bandar,Mahdarvish,business ,5,
Pir Khaloo,Mosa,family,3,
Pir Khaloo,Gol Mohamad,business ,3,
Amo mandalo,Mosa,family,3,
Amo mandalo,Pir Khaloo,family,3,
NadAli,Mashhadi ghadir,friend,5,
Mosa,Shaida,business ,3,
Baig Mohamad,Moslem,business ,3,
Pir Khaloo,Haj Noroallo,business ,3,دالاندار
Baghli Bandar,Alajaghi,business ,5,مباشر
Gol Mohamad,Alajaghi,business ,3,
Aslan,Shida,family,5,
NadAli,Shida,family,3,
NadAli,Shida,friend,3,
NadAli,Aslan,family,1,
Baghli Bandar,Amo mandalo,business ,1,
Baghli Bandar,Ghorban Baloch,business ,3,
Jahan Khan,Bazkhan Afghan,business ,3,قاچاق
Bazkhan Afghan,Ghorban Baloch,business ,3,قاچاق
Mahdarvish,Ghorban Baloch,friend,3,
Mahdarvish,Shaida,enemy,3,
Mahdarvish,Ghadir,enemy,3,
La La,Ghadir,romantic,5,
Daeei,Ghadir,enemy,5,
Baghli Bandar,Baba Golab,business ,3,وردست
La La,Shiro,enemy,3,
Mosa,Shiro,friend,1,
Baghli Bandar,Chapav,business ,3,چوپان
La La,Chapav,family,3,
Alajaghi,Chapav,business,3,چوپان
Baghli Bandar,Said Telephonchi,business,5,وردست
Khale Sanama,Said Telephonchi,social,1,
Khale Sanama,Ghorban Baloch,social,3,
Khale Sanama,Shaida,social,3,
Khale Sanama,NadAli,social,3,
Khale Sanama,Daeei,social,3,
Khale Sanama,Ghorban Baloch,social,1,
Pahlavan Balkhi,Ghorban Baloch,friend,5,
Shida,Ghorban Baloch,business,3,
Mashhadi ghadir,Ghorban Baloch,business,3,
Pahlavan Balkhi,Sattar,friend,5,
Mosa,Sattar,friend,3,
Mashhadi ghadir,Sattar,enemy,3,
Pahlavan Balkhi,Mosa,friend,3,
Khoda Morad,Sattar,friend,3,
Khoda Morad,Gholam Ali,family,5,
Mosa,Gholam Ali,business,3,کارگر قالیبافی
Pahlavan Balkhi,Balkhi Girls,family,5,
Mosa,Balkhi Girls,business,3,کارگر قالیباف
